trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.7, 'e': 0.9715000000000031}",25,0,-77.34173103266738,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.7, 'e': 0.9710000000000032}",20,0,-101.48266145937798,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.9705000000000032}",30,0,-86.87349621650243,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.7, 'e': 0.9700000000000033}",20,0,-95.1652825151563,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.7, 'e': 0.9695000000000034}",25,0,-138.89355526928873,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
62,False,"{'a': 0.7, 'e': 0.9690000000000034}",25,0,-91.47094570606642,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
63,False,"{'a': 0.7, 'e': 0.9685000000000035}",20,0,-38.33571173398871,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
64,False,"{'a': 0.7, 'e': 0.9680000000000035}",25,9,-34.30923229026635,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.9675000000000036}",25,0,-120.07760287854148,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
66,False,"{'a': 0.7, 'e': 0.9670000000000036}",20,0,-77.27548914364709,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.7, 'e': 0.9665000000000037}",20,0,-61.82526331872897,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
68,False,"{'a': 0.7, 'e': 0.9660000000000037}",20,0,-136.50756142878427,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
69,False,"{'a': 0.7, 'e': 0.9655000000000038}",20,0,-24.281734931076674,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
70,False,"{'a': 0.7, 'e': 0.9650000000000039}",25,0,-95.83542379839767,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
71,False,"{'a': 0.7, 'e': 0.9645000000000039}",35,14,-97.61043127369442,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 1}",1
72,False,"{'a': 0.7, 'e': 0.964000000000004}",25,0,-81.12347708864418,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.7, 'e': 0.963500000000004}",30,0,-239.22074640826008,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 5}",0
74,False,"{'a': 0.7, 'e': 0.9630000000000041}",20,0,-51.57846947205867,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
75,False,"{'a': 0.7, 'e': 0.9625000000000041}",20,0,-64.62998827813615,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
76,False,"{'a': 0.7, 'e': 0.9620000000000042}",20,0,-81.22626923563112,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
77,False,"{'a': 0.7, 'e': 0.9615000000000042}",20,0,-94.31188924153733,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.7, 'e': 0.9610000000000043}",20,0,-194.87678117819596,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
79,False,"{'a': 0.7, 'e': 0.9605000000000044}",25,0,-107.206325117375,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
80,False,"{'a': 0.7, 'e': 0.9600000000000044}",35,0,-166.11738871888858,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 3}",0
81,False,"{'a': 0.7, 'e': 0.9595000000000045}",20,0,-119.85176394043162,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
82,False,"{'a': 0.7, 'e': 0.9590000000000045}",20,0,-190.96030724168867,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
83,False,"{'a': 0.7, 'e': 0.9585000000000046}",35,0,-244.36111484146218,"{0: 19, 1: 4, 2: 7, 3: 1, 4: 4}",0
84,False,"{'a': 0.7, 'e': 0.9580000000000046}",35,0,-70.66769376470093,"{0: 26, 1: 2, 2: 5, 3: 2, 4: 0}",0
85,False,"{'a': 0.7, 'e': 0.9575000000000047}",30,0,-144.6571787559215,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
86,False,"{'a': 0.7, 'e': 0.9570000000000047}",25,7,-61.71814766557461,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
87,False,"{'a': 0.7, 'e': 0.9565000000000048}",20,0,-94.29076723215108,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
88,False,"{'a': 0.7, 'e': 0.9560000000000048}",20,0,-93.88790516210038,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.7, 'e': 0.9555000000000049}",30,0,-110.64658166040722,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
90,False,"{'a': 0.7, 'e': 0.955000000000005}",20,0,-57.127440482271545,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.7, 'e': 0.954500000000005}",25,0,-208.63984305478044,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
92,False,"{'a': 0.7, 'e': 0.9540000000000051}",30,0,-50.158536420532386,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
93,False,"{'a': 0.7, 'e': 0.9535000000000051}",25,0,-129.33956654973724,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
94,False,"{'a': 0.7, 'e': 0.9530000000000052}",20,0,-21.373927495650968,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
95,False,"{'a': 0.7, 'e': 0.9525000000000052}",20,0,-74.85447390838227,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
96,False,"{'a': 0.7, 'e': 0.9520000000000053}",20,0,-149.66254741495607,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
97,False,"{'a': 0.7, 'e': 0.9515000000000053}",25,0,-124.53013452286379,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
98,False,"{'a': 0.7, 'e': 0.9510000000000054}",25,0,-79.24557360649412,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 0}",0
99,False,"{'a': 0.7, 'e': 0.9505000000000055}",25,0,-13.774292205029337,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.7, 'e': 0.9500000000000055}",20,0,-121.96812526065081,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 0.7, 'e': 0.9495000000000056}",25,3,-86.11580973288186,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 1}",1
102,False,"{'a': 0.7, 'e': 0.9490000000000056}",35,0,-164.47951468865412,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
103,False,"{'a': 0.7, 'e': 0.9485000000000057}",25,0,-59.270834103513515,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
104,False,"{'a': 0.7, 'e': 0.9480000000000057}",30,0,-186.8805785389809,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
105,False,"{'a': 0.7, 'e': 0.9475000000000058}",25,0,-57.62419631621905,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
106,False,"{'a': 0.7, 'e': 0.9470000000000058}",20,0,-62.79369968684978,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
107,False,"{'a': 0.7, 'e': 0.9465000000000059}",25,0,-104.75423867200284,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
108,False,"{'a': 0.7, 'e': 0.946000000000006}",30,0,-159.6130130244663,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
109,False,"{'a': 0.7, 'e': 0.945500000000006}",30,0,-155.0821351488656,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
110,False,"{'a': 0.7, 'e': 0.9450000000000061}",30,0,-79.44744750291572,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
111,False,"{'a': 0.7, 'e': 0.9445000000000061}",20,0,-45.79956684620936,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
112,False,"{'a': 0.7, 'e': 0.9440000000000062}",25,0,-81.5004464233083,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
113,False,"{'a': 0.7, 'e': 0.9435000000000062}",25,0,-250.63004291935573,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 5}",0
114,False,"{'a': 0.7, 'e': 0.9430000000000063}",20,0,-107.20788315915611,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
115,False,"{'a': 0.7, 'e': 0.9425000000000063}",20,0,-97.75906313113171,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
116,False,"{'a': 0.7, 'e': 0.9420000000000064}",20,0,-209.03954070879428,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
117,False,"{'a': 0.7, 'e': 0.9415000000000064}",20,0,-105.94269804904926,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",1
118,False,"{'a': 0.7, 'e': 0.9410000000000065}",20,0,-95.54173239446624,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
119,False,"{'a': 0.7, 'e': 0.9405000000000066}",30,0,-221.01767586153701,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
120,False,"{'a': 0.7, 'e': 0.9400000000000066}",35,3,-274.98664677872466,"{0: 14, 1: 5, 2: 7, 3: 2, 4: 4}",1
121,False,"{'a': 0.7, 'e': 0.9395000000000067}",20,10,-9.60412810514115,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.9390000000000067}",25,0,-131.6825961664673,"{0: 12, 1: 7, 2: 3, 3: 2, 4: 1}",0
123,False,"{'a': 0.7, 'e': 0.9385000000000068}",20,13,-36.24908102421704,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.7, 'e': 0.9380000000000068}",30,0,-184.2437318001178,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
125,False,"{'a': 0.7, 'e': 0.9375000000000069}",25,0,-62.9542049128228,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
126,False,"{'a': 0.7, 'e': 0.9370000000000069}",20,0,-94.46400725480046,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
127,False,"{'a': 0.7, 'e': 0.936500000000007}",20,6,-78.48390349648035,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
128,False,"{'a': 0.7, 'e': 0.936000000000007}",20,0,-37.59381841273009,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
129,False,"{'a': 0.7, 'e': 0.9355000000000071}",35,0,-220.02248570483516,"{0: 20, 1: 1, 2: 10, 3: 1, 4: 3}",0
